run_date,session,ticker,direction,setup,price,zone_lo,zone_hi,trigger,invalid,expiry,strike,ask,spread_pct,oi,vol,iv_pct,cost,fits_cap,trigger_fired,fired_time,fired_price,invalidated,note
2026-08-05 11:40 ET,am,CSCO,CALL,breakout watch,121.42,122.79,122.89,122.89,122.79,2026-08-21,130.0,2.89,3.8,10529,119,57.4,289.0,True,N,,,N,
2026-08-05 11:40 ET,am,QQQ,CALL,breakout watch,723.01,720.85,726.83,726.83,720.85,2026-08-10,735.0,2.37,2.5,1466,325,18.2,237.0,True,N,,,N,
2026-08-05 11:40 ET,am,IWM,CALL,breakout watch,300.89,301.5,302.72,302.72,301.5,2026-08-11,304.0,1.27,3.9,524,57,15.2,127.0,True,N,,,N,
2026-08-05 14:28 ET,pm,XOM,CALL,breakout watch,152.24,150.98,153.89,153.89,150.98,2026-08-21,165.0,0.47,8.5,7037,246,29.1,47.0,True,N,,,N,
2026-08-05 18:11 ET,pm,IWM,CALL,breakout watch,299.77,301.5,302.72,302.72,301.5,2026-08-11,304.0,0.82,6.1,524,3060,14.1,82.0,True,N,,,N,
2026-08-06 10:44 ET,am,QQQ,CALL,breakout watch,717.42,720.85,726.83,726.83,720.85,2026-08-13,740.0,1.35,3.0,1036,119,18.9,135.0,True,N,,,N,
2026-08-06 10:44 ET,am,IWM,CALL,breakout watch,300.99,301.5,302.72,302.72,301.5,2026-08-14,304.0,1.79,2.8,1174,42,16.2,179.0,True,N,,,N,
2026-08-06 11:44 ET,am,NVDA,CALL,breakout watch,217.41,216.83,217.91,217.91,216.83,2026-08-12,220.0,3.35,3.0,1629,1910,37.5,335.0,True,N,,,N,
2026-08-06 14:36 ET,pm,XOM,CALL,breakout watch,153.99,154.84,155.69,155.69,154.84,2026-08-21,170.0,0.25,16.0,6480,129,30.0,25.0,True,N,,,N,
2026-08-06 14:36 ET,pm,QQQ,CALL,breakout watch,715.68,720.85,726.83,726.83,720.85,2026-08-12,735.0,1.12,1.8,3166,354,17.1,112.0,True,N,,,N,
2026-08-06 14:36 ET,pm,IWM,CALL,breakout watch,298.75,301.5,302.72,302.72,301.5,2026-08-14,304.0,0.98,5.1,1174,84,15.3,98.0,True,N,,,N,
2026-08-10 10:39 ET,am,AVGO,CALL,breakout watch,429.85,435.31,437.68,437.68,435.31,2026-08-21,480.0,1.57,1.9,4273,85,45.5,157.0,True,N,,,N,
2026-08-10 10:39 ET,am,IWM,CALL,breakout watch,300.41,301.5,303.06,303.06,301.5,2026-08-17,305.0,0.91,4.4,1547,64,14.5,91.0,True,N,,,N,
2026-08-10 12:39 ET,am,NVDA,CALL,breakout watch,217.03,216.83,217.91,217.91,216.83,2026-08-17,222.5,2.92,2.1,5768,1690,40.1,292.0,True,N,,,N,
